timestamp_utc,suite,model,q_count,path_starvation_rate,filtered_to_zero_events,filtered_to_zero_qids,artifact_citations_unknown,missing_paths_from_parquet,schema_issues_total,advice_issues_total,guru_score,guru_issues,guru_failing_qids,run_path
2026-02-11T23:42:52,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,4.0,0.5,3,2,0,0.0,0.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_260211_234252/pack_rust_audit_rsqt_general_set4_v1_0
2026-02-11T23:42:52,RSQT_GENERAL_5SETS_1_5,strand-iq4xs:latest,5.0,0.0,1,1,0,0.0,5.0,0.0,5.0,0.0,,RSQT_GENERAL_5SETS_260211_234252/pack_rust_audit_rsqt_general_set5_v1_0
2026-02-11T23:44:09,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.0,0,0,0,0.0,2.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_234409/pack_rust_audit_rsqt_general_set10_v1_0
2026-02-11T23:44:09,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.25,3,3,0,0.0,7.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_234409/pack_rust_audit_rsqt_general_set6_v1_0
2026-02-11T23:44:09,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,5.0,0.6,9,2,0,0.0,3.0,0.0,5.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_234409/pack_rust_audit_rsqt_general_set7_v1_0
2026-02-11T23:44:09,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.75,1,1,0,0.0,2.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_234409/pack_rust_audit_rsqt_general_set8_v1_0
2026-02-11T23:44:09,RSQT_GENERAL_5SETS_6_10,strand-iq4xs:latest,4.0,0.5,4,2,0,0.0,2.0,0.0,4.0,0.0,,RSQT_GENERAL_5SETS_6_TO_10_260211_234409/pack_rust_audit_rsqt_general_set9_v1_0
2026-02-12T00:13:50,RAQT_MISSION_5SETS,strand-iq4xs:latest,3.0,0.0,8,3,0,0.0,0.0,6.0,0.0,3.0,"R_BOUNDARY_1,R_PORTS_1,R_TRAIT_1",RAQT_MISSION_5SETS_260212_001350/pack_rust_audit_raqt_mission_set1_v1_0
2026-02-12T00:13:50,RAQT_MISSION_5SETS,strand-iq4xs:latest,,,3,2,0,,,,,,,RAQT_MISSION_5SETS_260212_001350/pack_rust_audit_raqt_mission_set2_v1_0
2026-02-12T00:14:09,RAQT_MISSION_5SETS,strand-iq4xs:latest,3.0,0.333,5,3,0,0.0,0.0,5.0,0.0,3.0,"R_BOUNDARY_1,R_MISSION_CALLGRAPH_1,R_MISSION_SAFETY_1",RAQT_MISSION_5SETS_6_TO_10_260212_001409/pack_rust_audit_raqt_mission_set6_v1_0
